ratings,like_count_song,like_count_show,total_times_played,year,cover_dummy
4,3,7,3,1983,1
4,3,7,2,1983,1
3,0,3,5,1984,1
3,4,3,228,1984,1
3,1,3,228,1984,1
3,0,3,4,1984,1
3,0,3,55,1984,0
3,3,3,3,1984,1
3,2,3,228,1984,1
4,1,4,3,1984,1
4,0,4,134,1984,1
4,2,4,2,1984,1
4,1,4,104,1984,0
4,5,4,233,1984,0
4,0,4,1,1984,1
4,0,4,2,1984,1
4,1,4,91,1984,1
4,0,4,11,1984,1
4,0,4,4,1984,0
4,0,4,252,1984,0
4,2,4,3,1984,1
3,0,3,12,1985,0
3,3,3,55,1985,0
3,4,3,1,1985,0
3,3,3,4,1985,0
3,1,3,5,1985,1
4,1,2,510,1985,0
4,0,2,21,1985,0
4,0,2,3,1985,1
4,1,2,3,1985,1
4,5,2,228,1985,1
4,0,2,104,1985,0
4,2,2,452,1985,0
4,1,2,1,1985,1
4,0,2,12,1985,0
3,0,1,228,1985,1
3,0,1,510,1985,0
3,1,1,21,1985,0
3,1,1,4,1985,0
3,1,1,12,1985,0
3,0,1,55,1985,0
3,0,1,452,1985,0
3,2,1,112,1985,0
3,3,0,371,1985,0
3,0,0,24,1985,0
3,1,0,522,1985,0
3,0,0,233,1985,0
3,2,0,72,1985,1
3,0,0,2,1985,1
3,0,0,1,1985,1
3,0,0,192,1985,0
3,0,0,192,1985,0
3,0,0,89,1985,0
3,0,0,192,1985,0
3,0,0,192,1985,0
3,1,0,5,1985,0
3,0,0,4,1985,0
3,1,1,1,1985,1
3,4,1,104,1985,0
3,4,1,104,1985,0
3,4,1,2,1985,1
3,4,1,104,1985,0
3,4,1,104,1985,0
3,0,1,11,1985,1
4,0,3,510,1985,0
4,6,3,49,1985,1
4,0,3,452,1985,0
4,0,3,21,1985,0
2,0,0,233,1986,0
2,0,0,510,1986,0
2,0,0,21,1986,0
2,2,0,603,1986,0
2,0,0,192,1986,0
2,0,0,192,1986,0
2,0,0,89,1986,0
2,0,0,192,1986,0
2,0,0,192,1986,0
2,0,0,5,1986,0
2,0,0,452,1986,0
4,0,1,36,1986,1
4,0,1,14,1986,1
4,2,1,371,1986,0
4,0,1,228,1986,1
4,0,1,27,1986,0
4,0,1,603,1986,0
4,0,1,1,1986,1
4,1,1,1,1986,1
